Número do Aluno,Sala,Data,Hora,IP
108014,AA3.28,30/05/2025,10:33:00,192.168.1.123
107673,C2.01,02/10/2024,17:50:00,192.168.206.118
102136,0S02,13/09/2024,18:34:00,192.168.88.155
108394,B2.01,22/11/2024,15:57:00,192.168.56.246
101809,0S01,09/05/2025,12:55:00,192.168.247.149
108264,C2.01,15/11/2024,20:57:00,192.168.159.55
101195,Auditório 1,06/08/2024,16:16:00,192.168.85.19
105515,AA3.26,14/05/2025,19:50:00,192.168.33.165
108075,B2.02,02/12/2024,10:33:00,192.168.215.22
100545,0S02,13/02/2025,08:19:00,192.168.12.49
108670,0S02,10/07/2024,10:33:00,192.168.124.148
108345,C2.01,02/06/2025,10:33:00,192.168.135.77
101767,D1.01,11/02/2025,08:19:00,192.168.43.166
103475,B2.01,31/10/2024,14:43:00,192.168.61.172
103959,0S01,06/02/2025,13:57:00,192.168.158.115
109225,C2.01,09/12/2024,18:34:00,192.168.93.188
101808,D1.02,19/06/2025,08:19:00,192.168.158.68
100791,B2.02,19/06/2025,16:16:00,192.168.135.84
100642,0S02,02/09/2024,09:47:00,192.168.240.83
103476,AA3.28,12/08/2024,17:50:00,192.168.97.191
104343,D1.01,19/03/2025,13:57:00,192.168.235.62
107751,AA3.28,04/07/2024,10:33:00,192.168.152.90
109615,0S01,28/10/2024,16:16:00,192.168.235.81
106670,D1.02,27/06/2025,17:50:00,192.168.24.154
101658,AA3.28,29/07/2024,20:57:00,192.168.121.94
103109,AA3.26,23/08/2024,14:43:00,192.168.31.191
100897,AA3.26,19/07/2024,11:14:00,192.168.158.206
107311,AA3.26,14/02/2025,18:34:00,192.168.69.81
102457,AA3.28,02/05/2025,09:47:00,192.168.97.43
100386,C2.02,12/06/2025,15:57:00,192.168.107.206
108500,D1.02,30/08/2024,12:55:00,192.168.178.97
109759,Auditório 4,14/05/2025,10:33:00,192.168.67.239
102694,0S01,09/07/2024,08:19:00,192.168.161.215
103857,AA3.26,21/08/2024,20:57:00,192.168.190.96
107612,D1.01,30/10/2024,13:57:00,192.168.206.232
101610,Auditório 1,16/07/2024,20:57:00,192.168.49.106
100414,0S01,22/07/2024,12:55:00,192.168.188.136
107018,B2.02,02/04/2025,10:33:00,192.168.53.196
101111,B2.01,18/06/2025,13:57:00,192.168.42.108
108750,0S02,12/02/2025,19:50:00,192.168.66.146
106093,Auditório 4,05/06/2025,13:57:00,192.168.160.195
109401,Auditório 1,05/08/2024,20:57:00,192.168.104.239
107841,AA3.26,14/11/2024,10:33:00,192.168.251.5
106787,B2.01,26/05/2025,09:47:00,192.168.85.123
102963,B2.02,25/09/2024,18:34:00,192.168.233.106
102913,B2.01,14/03/2025,17:50:00,192.168.45.120
106684,AA3.28,17/02/2025,13:57:00,192.168.72.234
100853,B2.01,27/08/2024,20:57:00,192.168.142.146
107653,D1.02,27/02/2025,11:14:00,192.168.176.189
103031,0S01,30/06/2025,14:43:00,192.168.67.158
100179,B2.02,14/03/2025,12:55:00,192.168.90.158
106071,D1.01,25/06/2025,09:47:00,192.168.80.59
108156,D1.01,03/04/2025,16:16:00,192.168.56.192
104684,B2.01,30/04/2025,13:57:00,192.168.251.41
102980,B2.02,13/12/2024,11:14:00,192.168.93.90
102385,B2.01,04/06/2025,14:43:00,192.168.168.183
105890,C2.01,08/10/2024,11:14:00,192.168.242.124
109209,D1.01,17/10/2024,15:57:00,192.168.166.247
106464,C2.02,03/07/2024,10:33:00,192.168.224.94
109477,Auditório 1,17/04/2025,10:33:00,192.168.154.129
104287,D1.01,15/10/2024,12:55:00,192.168.94.241
108959,B2.01,04/04/2025,08:19:00,192.168.70.71
100613,0S02,02/05/2025,13:57:00,192.168.226.3
104287,AA3.26,04/06/2025,10:33:00,192.168.94.241
108884,AA3.28,17/07/2024,14:43:00,192.168.35.188
103625,C2.01,11/10/2024,16:16:00,192.168.240.49
100081,Auditório 1,23/07/2024,12:55:00,192.168.60.23
104394,0S01,10/07/2024,16:16:00,192.168.156.110
109708,AA3.28,19/08/2024,19:50:00,192.168.254.180
101767,B2.02,13/03/2025,19:50:00,192.168.43.166
107150,AA3.26,19/08/2024,11:14:00,192.168.100.190
103934,B2.02,10/06/2025,15:57:00,192.168.221.104
104662,Auditório 1,21/10/2024,13:57:00,192.168.80.89
108304,0S01,03/04/2025,15:57:00,192.168.89.247
105515,AA3.28,10/04/2025,20:57:00,192.168.33.165
102016,0S02,01/10/2024,10:33:00,192.168.219.3
107558,C2.01,11/12/2024,16:16:00,192.168.147.241
103655,0S01,25/02/2025,16:16:00,192.168.153.14
105334,D1.01,18/09/2024,14:43:00,192.168.98.42
106388,AA3.28,15/08/2024,10:33:00,192.168.60.156
101294,B2.01,04/10/2024,19:50:00,192.168.32.84
104099,C2.02,05/12/2024,20:57:00,192.168.122.70
100112,C2.01,18/07/2024,12:55:00,192.168.109.16
105369,B2.02,11/07/2024,20:57:00,192.168.28.87
108264,C2.01,11/11/2024,18:34:00,192.168.159.55
105679,Auditório 4,06/08/2024,20:57:00,192.168.209.124
100107,D1.01,07/05/2025,14:43:00,192.168.157.139
101808,Auditório 4,15/07/2024,14:43:00,192.168.158.68
108926,AA3.26,04/12/2024,13:57:00,192.168.209.7
109959,0S01,04/10/2024,09:47:00,192.168.136.188
107657,AA3.28,18/09/2024,19:50:00,192.168.130.127
101808,AA3.26,03/04/2025,19:50:00,192.168.158.68
102913,Auditório 1,31/10/2024,20:57:00,192.168.45.120
109477,AA3.26,28/04/2025,08:19:00,192.168.154.129
106023,Auditório 1,11/04/2025,14:43:00,192.168.44.225
103328,B2.01,14/05/2025,20:57:00,192.168.213.74
103422,0S02,10/02/2025,17:50:00,192.168.124.36
108500,Auditório 4,30/10/2024,09:47:00,192.168.178.97
108910,0S01,01/10/2024,19:50:00,192.168.203.34
109959,AA3.28,06/12/2024,11:14:00,192.168.136.188
108084,AA3.26,26/09/2024,20:57:00,192.168.120.21
104052,Auditório 4,13/05/2025,13:57:00,192.168.119.233
104074,Auditório 1,03/04/2025,14:43:00,192.168.106.156
100919,0S01,20/11/2024,14:43:00,192.168.12.172
107784,0S02,16/09/2024,13:57:00,192.168.9.11
101409,AA3.26,03/09/2024,08:19:00,192.168.104.237
101381,0S02,22/10/2024,19:50:00,192.168.236.18
101556,B2.01,24/04/2025,17:50:00,192.168.115.18
105975,AA3.26,07/10/2024,08:19:00,192.168.211.41
102694,D1.01,08/11/2024,18:34:00,192.168.161.215
102678,D1.01,30/07/2024,08:19:00,192.168.71.239
101832,0S01,24/03/2025,19:50:00,192.168.144.234
106203,Auditório 1,04/04/2025,09:47:00,192.168.150.53
100897,AA3.26,14/02/2025,17:50:00,192.168.158.206
107761,B2.01,23/04/2025,13:57:00,192.168.231.32
100993,AA3.26,29/04/2025,17:50:00,192.168.198.42
103475,0S02,17/04/2025,15:57:00,192.168.61.172
101809,0S02,19/02/2025,16:16:00,192.168.247.149
102378,B2.01,19/11/2024,16:16:00,192.168.221.233
103857,AA3.28,07/05/2025,16:16:00,192.168.190.96
100897,D1.01,13/11/2024,16:16:00,192.168.158.206
109337,B2.02,08/04/2025,16:16:00,192.168.76.204
101655,B2.02,21/02/2025,16:16:00,192.168.171.245
108817,Auditório 1,05/08/2024,09:47:00,192.168.41.173
101906,D1.02,09/07/2024,13:57:00,192.168.151.252
100513,AA3.26,02/04/2025,20:57:00,192.168.125.62
105181,D1.02,27/06/2025,17:50:00,192.168.2.13
109452,B2.02,23/09/2024,17:50:00,192.168.25.23
100513,C2.02,01/07/2025,19:50:00,192.168.125.62
102723,AA3.26,13/12/2024,14:43:00,192.168.192.144
108909,D1.02,04/10/2024,19:50:00,192.168.220.105
102141,D1.02,22/05/2025,11:14:00,192.168.57.22
106181,C2.02,04/07/2024,13:57:00,192.168.221.231
101658,D1.01,19/08/2024,16:16:00,192.168.121.94
100357,AA3.26,17/07/2024,20:57:00,192.168.227.40
109171,C2.01,12/05/2025,12:55:00,192.168.241.178
107389,D1.02,07/08/2024,15:57:00,192.168.201.247
100936,B2.02,02/07/2025,11:14:00,192.168.227.64
100443,AA3.28,07/02/2025,14:43:00,192.168.57.26
108346,0S01,22/11/2024,11:14:00,192.168.86.158
107138,AA3.28,30/06/2025,15:57:00,192.168.5.215
100239,0S01,21/04/2025,13:57:00,192.168.88.115
104130,C2.01,08/05/2025,12:55:00,192.168.252.230
100952,B2.02,25/04/2025,17:50:00,192.168.209.243
100081,D1.01,26/11/2024,18:34:00,192.168.60.23
106143,C2.02,11/06/2025,13:57:00,192.168.175.194
108534,D1.01,14/02/2025,20:57:00,192.168.79.99
107714,C2.02,28/10/2024,09:47:00,192.168.248.179
102980,AA3.26,20/09/2024,20:57:00,192.168.93.90
107931,Auditório 4,22/08/2024,16:16:00,192.168.200.209
104828,AA3.28,21/05/2025,09:47:00,192.168.183.73
106720,AA3.26,29/11/2024,09:47:00,192.168.152.144
104632,Auditório 4,20/06/2025,16:16:00,192.168.178.130
106959,Auditório 1,24/06/2025,15:57:00,192.168.26.204
108061,0S02,21/05/2025,09:47:00,192.168.15.235
