Número do Aluno,Sala,Data e Hora,IP
108014,B2.02,01/04/2025 17:50:00,192.168.1.123
108014,0S02,02/04/2025 17:50:00,192.168.1.123
108014,C2.02,03/04/2025 16:16:00,192.168.1.123
108014,0S01,04/04/2025 15:57:00,192.168.1.123
108014,B2.02,08/04/2025 14:43:00,192.168.1.123
108014,0S01,08/04/2025 17:50:00,192.168.1.123
108014,B2.01,10/04/2025 13:57:00,192.168.1.123
108014,D1.01,11/04/2025 10:33:00,192.168.1.123
108014,0S02,11/04/2025 19:50:00,192.168.1.123
108014,0S02,18/04/2025 11:14:00,192.168.1.123
108014,0S02,21/04/2025 14:43:00,192.168.1.123
108014,C2.02,23/04/2025 11:14:00,192.168.1.123
108014,B2.01,24/04/2025 13:57:00,192.168.1.123
108014,D1.02,25/04/2025 11:14:00,192.168.1.123
108014,Auditório 1,29/04/2025 10:33:00,192.168.1.123
108014,D1.01,30/04/2025 20:57:00,192.168.1.123
108014,Auditório 1,02/05/2025 19:50:00,192.168.1.123
108014,D1.01,13/05/2025 15:57:00,192.168.1.123
108014,Auditório 1,13/05/2025 17:50:00,192.168.1.123
108014,D1.01,16/05/2025 15:57:00,192.168.1.123
108014,C2.02,19/05/2025 10:33:00,192.168.1.123
108014,AA3.28,30/05/2025 10:33:00,192.168.1.123
108014,AA3.28,02/06/2025 16:16:00,192.168.1.123
108014,0S02,03/06/2025 13:57:00,192.168.1.123
108014,Auditório 1,05/06/2025 14:43:00,192.168.1.123
108014,B2.02,11/06/2025 19:50:00,192.168.1.123
108014,C2.01,13/06/2025 15:57:00,192.168.1.123
108014,C2.01,13/06/2025 17:50:00,192.168.1.123
108014,0S02,18/06/2025 11:14:00,192.168.1.123
108014,0S01,19/06/2025 15:57:00,192.168.1.123
108014,AA3.26,19/06/2025 18:34:00,192.168.1.123
108014,B2.01,20/06/2025 10:33:00,192.168.1.123
108014,0S02,25/06/2025 16:16:00,192.168.1.123
108014,Auditório 1,27/06/2025 10:33:00,192.168.1.123
108014,D1.02,30/06/2025 11:14:00,192.168.1.123
108014,B2.02,01/07/2025 20:57:00,192.168.1.123
109648,D1.01,08/07/2024 14:43:00,192.168.1.30
109648,AA3.28,11/07/2024 11:14:00,192.168.1.30
109648,Auditório 4,11/07/2024 12:55:00,192.168.1.30
109648,Auditório 4,12/07/2024 16:16:00,192.168.1.30
109648,AA3.26,15/07/2024 19:50:00,192.168.1.30
109648,Auditório 1,18/07/2024 20:57:00,192.168.1.30
109648,0S02,25/07/2024 15:57:00,192.168.1.30
109648,0S01,26/07/2024 17:50:00,192.168.1.30
109648,B2.01,29/07/2024 17:50:00,192.168.1.30
109648,B2.01,30/07/2024 11:14:00,192.168.1.30
109648,AA3.26,02/08/2024 14:43:00,192.168.1.30
109648,AA3.26,02/08/2024 20:57:00,192.168.1.30
109648,0S02,05/08/2024 13:57:00,192.168.1.30
109648,Auditório 1,06/08/2024 16:16:00,192.168.1.30
109648,D1.02,07/08/2024 17:50:00,192.168.1.30
109648,C2.02,09/08/2024 13:57:00,192.168.1.30
109648,D1.02,20/08/2024 11:14:00,192.168.1.30
109648,B2.02,20/08/2024 15:57:00,192.168.1.30
109648,C2.02,22/08/2024 16:16:00,192.168.1.30
109648,B2.02,26/08/2024 20:57:00,192.168.1.30
109648,C2.01,27/08/2024 20:57:00,192.168.1.30
109648,C2.02,04/09/2024 17:50:00,192.168.1.30
109648,C2.01,05/09/2024 09:47:00,192.168.1.30
109648,0S01,06/09/2024 09:47:00,192.168.1.30
109648,C2.01,10/09/2024 18:34:00,192.168.1.30
109648,AA3.28,16/09/2024 20:57:00,192.168.1.30
109648,AA3.28,17/09/2024 20:57:00,192.168.1.30
109648,B2.02,25/09/2024 17:50:00,192.168.1.30
109648,D1.01,27/09/2024 18:34:00,192.168.1.30
109648,0S02,30/09/2024 09:47:00,192.168.1.30
109648,C2.01,02/10/2024 20:57:00,192.168.1.30
109648,Auditório 1,15/10/2024 09:47:00,192.168.1.30
109648,0S02,15/10/2024 11:14:00,192.168.1.30
109648,D1.02,21/10/2024 15:57:00,192.168.1.30
109648,AA3.26,22/10/2024 17:50:00,192.168.1.30
109648,D1.01,23/10/2024 15:57:00,192.168.1.30
109648,0S02,23/10/2024 18:34:00,192.168.1.30
109648,Auditório 4,24/10/2024 10:33:00,192.168.1.30
109648,0S02,24/10/2024 14:43:00,192.168.1.30
109648,AA3.28,25/10/2024 17:50:00,192.168.1.30
109648,AA3.28,28/10/2024 18:34:00,192.168.1.30
109648,AA3.26,30/10/2024 12:55:00,192.168.1.30
109648,0S02,04/11/2024 13:57:00,192.168.1.30
109648,B2.02,14/11/2024 16:16:00,192.168.1.30
109648,D1.02,15/11/2024 13:57:00,192.168.1.30
109648,B2.02,18/11/2024 11:14:00,192.168.1.30
109648,B2.01,25/11/2024 15:57:00,192.168.1.30
109648,D1.02,26/11/2024 17:50:00,192.168.1.30
109648,AA3.28,28/11/2024 13:57:00,192.168.1.30
109648,B2.02,03/12/2024 10:33:00,192.168.1.30
109648,0S02,06/12/2024 09:47:00,192.168.1.30
109648,C2.01,09/12/2024 13:57:00,192.168.1.30
109648,AA3.26,11/12/2024 11:14:00,192.168.1.30
109648,0S02,11/12/2024 18:34:00,192.168.1.30
109648,B2.01,03/02/2025 13:57:00,192.168.1.30
109648,D1.02,03/02/2025 16:16:00,192.168.1.30
109648,AA3.28,06/02/2025 19:50:00,192.168.1.30
109648,C2.01,07/02/2025 16:16:00,192.168.1.30
109648,C2.01,07/02/2025 18:34:00,192.168.1.30
109648,D1.01,10/02/2025 13:57:00,192.168.1.30
109648,C2.01,11/02/2025 11:14:00,192.168.1.30
109648,D1.01,11/02/2025 13:57:00,192.168.1.30
109648,B2.02,13/02/2025 12:55:00,192.168.1.30
109648,C2.02,14/02/2025 19:50:00,192.168.1.30
109648,B2.01,19/02/2025 17:50:00,192.168.1.30
109648,C2.01,24/02/2025 13:57:00,192.168.1.30
109648,D1.02,11/03/2025 14:43:00,192.168.1.30
109648,Auditório 1,17/03/2025 11:14:00,192.168.1.30
109648,D1.01,19/03/2025 11:14:00,192.168.1.30
109648,D1.01,26/03/2025 12:55:00,192.168.1.30
109648,AA3.28,27/03/2025 19:50:00,192.168.1.30
109648,Auditório 1,27/03/2025 20:57:00,192.168.1.30
109648,B2.01,28/03/2025 11:14:00,192.168.1.30
109648,AA3.26,03/04/2025 14:43:00,192.168.1.30
109648,0S02,04/04/2025 18:34:00,192.168.1.30
109648,D1.01,07/04/2025 12:55:00,192.168.1.30
109648,B2.02,07/04/2025 18:34:00,192.168.1.30
109648,B2.01,08/04/2025 12:55:00,192.168.1.30
109648,B2.02,09/04/2025 13:57:00,192.168.1.30
109648,0S01,15/04/2025 11:14:00,192.168.1.30
109648,B2.02,17/04/2025 16:16:00,192.168.1.30
109648,D1.02,28/04/2025 09:47:00,192.168.1.30
109648,C2.01,30/04/2025 15:57:00,192.168.1.30
109648,B2.02,01/05/2025 17:50:00,192.168.1.30
109648,D1.02,06/05/2025 17:50:00,192.168.1.30
109648,B2.02,09/05/2025 18:34:00,192.168.1.30
109648,AA3.28,14/05/2025 15:57:00,192.168.1.30
109648,Auditório 4,22/05/2025 17:50:00,192.168.1.30
109648,AA3.28,23/05/2025 16:16:00,192.168.1.30
109648,0S01,26/05/2025 09:47:00,192.168.1.30
109648,C2.01,26/05/2025 11:14:00,192.168.1.30
109648,AA3.28,02/06/2025 12:55:00,192.168.1.30
109648,0S01,03/06/2025 14:43:00,192.168.1.30
109648,B2.01,09/06/2025 17:50:00,192.168.1.30
109648,Auditório 4,17/06/2025 10:33:00,192.168.1.30
109648,D1.02,17/06/2025 17:50:00,192.168.1.30
109648,C2.02,19/06/2025 13:57:00,192.168.1.30
109648,Auditório 4,20/06/2025 11:14:00,192.168.1.30
109648,D1.01,23/06/2025 20:57:00,192.168.1.30
109648,0S02,24/06/2025 20:57:00,192.168.1.30
109648,Auditório 1,30/06/2025 13:57:00,192.168.1.30
103667,AA3.28,04/07/2024 14:43:00,192.168.1.78
103667,Auditório 1,10/07/2024 10:33:00,192.168.1.78
103667,B2.01,12/07/2024 12:55:00,192.168.1.78
103667,0S01,15/07/2024 12:55:00,192.168.1.78
103667,B2.02,15/07/2024 17:50:00,192.168.1.78
103667,C2.01,16/07/2024 14:43:00,192.168.1.78
103667,D1.01,17/07/2024 10:33:00,192.168.1.78
103667,D1.01,18/07/2024 19:50:00,192.168.1.78
103667,C2.02,19/07/2024 12:55:00,192.168.1.78
103667,0S02,23/07/2024 10:33:00,192.168.1.78
103667,AA3.28,24/07/2024 15:57:00,192.168.1.78
103667,0S02,25/07/2024 16:16:00,192.168.1.78
103667,AA3.26,25/07/2024 18:34:00,192.168.1.78
103667,B2.01,26/07/2024 18:34:00,192.168.1.78
103667,AA3.26,29/07/2024 13:57:00,192.168.1.78
103667,AA3.26,07/08/2024 17:50:00,192.168.1.78
103667,C2.01,07/08/2024 20:57:00,192.168.1.78
103667,C2.02,08/08/2024 15:57:00,192.168.1.78
103667,D1.01,12/08/2024 15:57:00,192.168.1.78
103667,B2.02,14/08/2024 09:47:00,192.168.1.78
103667,D1.02,20/08/2024 20:57:00,192.168.1.78
103667,Auditório 1,26/08/2024 16:16:00,192.168.1.78
103667,B2.02,03/09/2024 20:57:00,192.168.1.78
103667,B2.02,04/09/2024 17:50:00,192.168.1.78
103667,Auditório 4,11/09/2024 20:57:00,192.168.1.78
103667,0S01,12/09/2024 09:47:00,192.168.1.78
103667,Auditório 1,18/09/2024 14:43:00,192.168.1.78
103667,C2.02,23/09/2024 09:47:00,192.168.1.78
103667,0S01,25/09/2024 14:43:00,192.168.1.78
103667,C2.01,25/09/2024 18:34:00,192.168.1.78
103667,D1.01,27/09/2024 10:33:00,192.168.1.78
103667,C2.02,02/10/2024 09:47:00,192.168.1.78
103667,0S01,07/10/2024 09:47:00,192.168.1.78
103667,C2.02,08/10/2024 12:55:00,192.168.1.78
103667,B2.02,23/10/2024 14:43:00,192.168.1.78
103667,Auditório 4,31/10/2024 19:50:00,192.168.1.78
103667,C2.02,07/11/2024 15:57:00,192.168.1.78
103667,B2.01,11/11/2024 17:50:00,192.168.1.78
103667,B2.02,12/11/2024 18:34:00,192.168.1.78
103667,Auditório 4,12/11/2024 19:50:00,192.168.1.78
103667,AA3.26,20/11/2024 09:47:00,192.168.1.78
103667,B2.01,02/12/2024 11:14:00,192.168.1.78
103667,B2.02,03/12/2024 14:43:00,192.168.1.78
103667,C2.01,03/12/2024 16:16:00,192.168.1.78
103667,AA3.28,12/12/2024 15:57:00,192.168.1.78
103667,AA3.28,13/12/2024 15:57:00,192.168.1.78
103667,D1.02,14/02/2025 13:57:00,192.168.1.78
103667,B2.01,14/02/2025 15:57:00,192.168.1.78
103667,C2.01,18/02/2025 15:57:00,192.168.1.78
103667,AA3.28,18/02/2025 16:16:00,192.168.1.78
103667,B2.01,19/02/2025 19:50:00,192.168.1.78
103667,Auditório 4,26/02/2025 11:14:00,192.168.1.78
103667,Auditório 1,27/02/2025 12:55:00,192.168.1.78
103667,AA3.26,28/02/2025 15:57:00,192.168.1.78
103667,Auditório 4,28/02/2025 16:16:00,192.168.1.78
103667,C2.01,07/03/2025 19:50:00,192.168.1.78
103667,Auditório 1,14/03/2025 14:43:00,192.168.1.78
103667,AA3.26,20/03/2025 12:55:00,192.168.1.78
103667,Auditório 4,24/03/2025 17:50:00,192.168.1.78
103667,D1.01,25/03/2025 11:14:00,192.168.1.78
103667,0S01,03/04/2025 09:47:00,192.168.1.78
103667,0S01,08/04/2025 09:47:00,192.168.1.78
103667,0S02,08/04/2025 10:33:00,192.168.1.78
103667,Auditório 1,16/04/2025 15:57:00,192.168.1.78
103667,0S02,18/04/2025 15:57:00,192.168.1.78
103667,0S01,21/04/2025 13:57:00,192.168.1.78
103667,D1.02,23/04/2025 14:43:00,192.168.1.78
103667,AA3.26,24/04/2025 19:50:00,192.168.1.78
103667,C2.02,24/04/2025 20:57:00,192.168.1.78
103667,C2.02,25/04/2025 18:34:00,192.168.1.78
103667,B2.02,29/04/2025 13:57:00,192.168.1.78
103667,D1.01,01/05/2025 12:55:00,192.168.1.78
103667,C2.01,08/05/2025 10:33:00,192.168.1.78
103667,Auditório 4,08/05/2025 20:57:00,192.168.1.78
103667,Auditório 4,09/05/2025 16:16:00,192.168.1.78
103667,D1.02,12/05/2025 12:55:00,192.168.1.78
103667,0S01,20/05/2025 12:55:00,192.168.1.78
103667,0S02,21/05/2025 14:43:00,192.168.1.78
103667,0S02,26/05/2025 20:57:00,192.168.1.78
103667,B2.02,29/05/2025 13:57:00,192.168.1.78
103667,D1.02,02/06/2025 20:57:00,192.168.1.78
103667,D1.02,03/06/2025 09:47:00,192.168.1.78
103667,C2.01,10/06/2025 19:50:00,192.168.1.78
103667,AA3.28,17/06/2025 10:33:00,192.168.1.78
103667,0S02,18/06/2025 14:43:00,192.168.1.78
103667,C2.02,27/06/2025 17:50:00,192.168.1.78
103667,B2.02,30/06/2025 14:43:00,192.168.1.78
103667,C2.01,02/07/2025 10:33:00,192.168.1.78
103667,0S01,02/07/2025 13:57:00,192.168.1.78
101902,0S02,02/07/2024 09:47:00,192.168.10.196
101902,Auditório 1,03/07/2024 10:33:00,192.168.10.196
101902,B2.01,05/07/2024 17:50:00,192.168.10.196
101902,0S01,10/07/2024 10:33:00,192.168.10.196
101902,0S02,11/07/2024 18:34:00,192.168.10.196
101902,Auditório 1,16/07/2024 11:14:00,192.168.10.196
101902,0S01,22/07/2024 12:55:00,192.168.10.196
101902,B2.01,22/07/2024 17:50:00,192.168.10.196
101902,Auditório 1,26/07/2024 19:50:00,192.168.10.196
101902,D1.01,02/08/2024 15:57:00,192.168.10.196
101902,Auditório 4,06/08/2024 12:55:00,192.168.10.196
101902,0S01,08/08/2024 10:33:00,192.168.10.196
101902,D1.01,14/08/2024 11:14:00,192.168.10.196
101902,D1.02,16/08/2024 09:47:00,192.168.10.196
101902,0S02,16/08/2024 12:55:00,192.168.10.196
101902,AA3.28,21/08/2024 11:14:00,192.168.10.196
101902,C2.01,21/08/2024 19:50:00,192.168.10.196
101902,D1.01,23/08/2024 13:57:00,192.168.10.196
101902,D1.02,28/08/2024 13:57:00,192.168.10.196
101902,D1.02,29/08/2024 11:14:00,192.168.10.196
101902,B2.01,30/08/2024 15:57:00,192.168.10.196
101902,0S02,03/09/2024 19:50:00,192.168.10.196
101902,Auditório 4,04/09/2024 18:34:00,192.168.10.196
101902,Auditório 4,06/09/2024 19:50:00,192.168.10.196
101902,C2.02,11/09/2024 09:47:00,192.168.10.196
101902,C2.02,12/09/2024 19:50:00,192.168.10.196
101902,D1.02,20/09/2024 16:16:00,192.168.10.196
101902,0S02,03/10/2024 12:55:00,192.168.10.196
101902,AA3.26,04/10/2024 14:43:00,192.168.10.196
101902,C2.01,09/10/2024 14:43:00,192.168.10.196
101902,D1.01,10/10/2024 11:14:00,192.168.10.196
101902,0S01,11/10/2024 15:57:00,192.168.10.196
101902,AA3.26,18/10/2024 12:55:00,192.168.10.196
101902,D1.01,21/10/2024 13:57:00,192.168.10.196
101902,Auditório 4,25/10/2024 18:34:00,192.168.10.196
101902,C2.01,30/10/2024 10:33:00,192.168.10.196
101902,Auditório 1,30/10/2024 11:14:00,192.168.10.196
101902,AA3.26,12/11/2024 10:33:00,192.168.10.196
101902,AA3.28,14/11/2024 16:16:00,192.168.10.196
101902,D1.02,18/11/2024 14:43:00,192.168.10.196
101902,B2.01,19/11/2024 10:33:00,192.168.10.196
101902,C2.01,19/11/2024 18:34:00,192.168.10.196
101902,AA3.26,20/11/2024 17:50:00,192.168.10.196
101902,0S02,27/11/2024 10:33:00,192.168.10.196
101902,Auditório 4,27/11/2024 11:14:00,192.168.10.196
101902,B2.01,28/11/2024 16:16:00,192.168.10.196
101902,D1.02,29/11/2024 20:57:00,192.168.10.196
101902,C2.02,03/12/2024 14:43:00,192.168.10.196
101902,B2.01,03/12/2024 17:50:00,192.168.10.196
101902,C2.01,03/02/2025 16:16:00,192.168.10.196
101902,B2.02,04/02/2025 16:16:00,192.168.10.196
101902,D1.02,05/02/2025 14:43:00,192.168.10.196
101902,B2.01,07/02/2025 10:33:00,192.168.10.196
101902,AA3.26,10/02/2025 10:33:00,192.168.10.196
101902,0S01,21/02/2025 15:57:00,192.168.10.196
101902,0S01,26/02/2025 11:14:00,192.168.10.196
101902,B2.02,04/03/2025 10:33:00,192.168.10.196
101902,C2.02,05/03/2025 10:33:00,192.168.10.196
101902,B2.01,11/03/2025 17:50:00,192.168.10.196
101902,0S01,13/03/2025 09:47:00,192.168.10.196
101902,Auditório 4,13/03/2025 12:55:00,192.168.10.196
101902,B2.02,19/03/2025 19:50:00,192.168.10.196
101902,AA3.28,20/03/2025 20:57:00,192.168.10.196
101902,D1.02,27/03/2025 16:16:00,192.168.10.196
101902,0S01,31/03/2025 13:57:00,192.168.10.196
101902,0S02,01/04/2025 11:14:00,192.168.10.196
101902,D1.01,03/04/2025 20:57:00,192.168.10.196
101902,Auditório 1,10/04/2025 09:47:00,192.168.10.196
101902,B2.02,11/04/2025 19:50:00,192.168.10.196
101902,C2.01,14/04/2025 20:57:00,192.168.10.196
101902,B2.02,15/04/2025 15:57:00,192.168.10.196
101902,AA3.28,21/04/2025 16:16:00,192.168.10.196
101902,0S01,30/04/2025 15:57:00,192.168.10.196
101902,0S02,01/05/2025 14:43:00,192.168.10.196
101902,D1.01,09/05/2025 11:14:00,192.168.10.196
101902,C2.02,12/05/2025 13:57:00,192.168.10.196
101902,B2.01,13/05/2025 12:55:00,192.168.10.196
101902,B2.02,13/05/2025 14:43:00,192.168.10.196
101902,C2.01,20/05/2025 18:34:00,192.168.10.196
101902,C2.02,22/05/2025 13:57:00,192.168.10.196
101902,Auditório 1,29/05/2025 20:57:00,192.168.10.196
101902,D1.02,30/05/2025 10:33:00,192.168.10.196
101902,C2.01,02/06/2025 09:47:00,192.168.10.196
101902,AA3.28,03/06/2025 17:50:00,192.168.10.196
101902,D1.02,05/06/2025 20:57:00,192.168.10.196
101902,0S01,06/06/2025 14:43:00,192.168.10.196
101902,Auditório 1,23/06/2025 13:57:00,192.168.10.196
101902,Auditório 4,24/06/2025 11:14:00,192.168.10.196
101902,B2.01,26/06/2025 14:43:00,192.168.10.196
101902,B2.02,01/07/2025 11:14:00,192.168.10.196
101902,AA3.28,01/07/2025 19:50:00,192.168.10.196
101902,C2.01,02/07/2025 10:33:00,192.168.10.196
108209,Auditório 1,05/07/2024 15:57:00,192.168.100.103
108209,Auditório 1,09/07/2024 14:43:00,192.168.100.103
108209,AA3.28,09/07/2024 20:57:00,192.168.100.103
108209,0S02,12/07/2024 19:50:00,192.168.100.103
108209,Auditório 4,18/07/2024 09:47:00,192.168.100.103
108209,B2.02,23/07/2024 10:33:00,192.168.100.103
108209,0S01,26/07/2024 14:43:00,192.168.100.103
108209,D1.02,31/07/2024 20:57:00,192.168.100.103
108209,Auditório 4,01/08/2024 13:57:00,192.168.100.103
108209,D1.01,06/08/2024 16:16:00,192.168.100.103
108209,C2.01,08/08/2024 15:57:00,192.168.100.103
108209,D1.01,08/08/2024 17:50:00,192.168.100.103
108209,AA3.26,12/08/2024 12:55:00,192.168.100.103
108209,D1.01,19/08/2024 15:57:00,192.168.100.103
108209,D1.01,23/08/2024 14:43:00,192.168.100.103
108209,D1.02,27/08/2024 10:33:00,192.168.100.103
108209,Auditório 4,04/09/2024 20:57:00,192.168.100.103
108209,C2.01,06/09/2024 15:57:00,192.168.100.103
108209,C2.02,19/09/2024 12:55:00,192.168.100.103
108209,C2.01,23/09/2024 19:50:00,192.168.100.103
108209,Auditório 4,24/09/2024 09:47:00,192.168.100.103
108209,B2.01,24/09/2024 15:57:00,192.168.100.103
108209,0S01,24/09/2024 19:50:00,192.168.100.103
108209,B2.01,30/09/2024 14:43:00,192.168.100.103
108209,0S01,01/10/2024 17:50:00,192.168.100.103
108209,0S01,07/10/2024 11:14:00,192.168.100.103
108209,B2.02,15/10/2024 16:16:00,192.168.100.103
108209,0S02,16/10/2024 09:47:00,192.168.100.103
108209,D1.02,18/10/2024 18:34:00,192.168.100.103
108209,C2.02,25/10/2024 09:47:00,192.168.100.103
108209,0S01,28/10/2024 10:33:00,192.168.100.103
108209,C2.02,28/10/2024 11:14:00,192.168.100.103
108209,0S02,29/10/2024 13:57:00,192.168.100.103
108209,Auditório 1,06/11/2024 11:14:00,192.168.100.103
108209,AA3.26,07/11/2024 19:50:00,192.168.100.103
108209,AA3.28,14/11/2024 09:47:00,192.168.100.103
108209,D1.02,15/11/2024 13:57:00,192.168.100.103
108209,D1.01,29/11/2024 16:16:00,192.168.100.103
108209,C2.01,03/12/2024 12:55:00,192.168.100.103
108209,0S02,03/12/2024 20:57:00,192.168.100.103
108209,AA3.26,10/12/2024 12:55:00,192.168.100.103
108209,0S01,13/12/2024 15:57:00,192.168.100.103
108209,B2.01,07/02/2025 19:50:00,192.168.100.103
108209,B2.02,19/02/2025 15:57:00,192.168.100.103
108209,Auditório 4,21/02/2025 17:50:00,192.168.100.103
108209,Auditório 1,28/02/2025 14:43:00,192.168.100.103
108209,C2.01,06/03/2025 09:47:00,192.168.100.103
108209,0S02,20/03/2025 14:43:00,192.168.100.103
108209,D1.02,24/03/2025 12:55:00,192.168.100.103
108209,Auditório 4,31/03/2025 09:47:00,192.168.100.103
108209,Auditório 4,01/04/2025 18:34:00,192.168.100.103
108209,Auditório 1,02/04/2025 11:14:00,192.168.100.103
108209,Auditório 1,02/04/2025 16:16:00,192.168.100.103
108209,Auditório 4,03/04/2025 16:16:00,192.168.100.103
108209,D1.02,09/04/2025 19:50:00,192.168.100.103
108209,B2.02,10/04/2025 09:47:00,192.168.100.103
108209,B2.02,10/04/2025 13:57:00,192.168.100.103
108209,D1.01,10/04/2025 18:34:00,192.168.100.103
108209,AA3.26,16/04/2025 12:55:00,192.168.100.103
108209,B2.01,24/04/2025 19:50:00,192.168.100.103
108209,0S02,25/04/2025 19:50:00,192.168.100.103
108209,B2.01,28/04/2025 10:33:00,192.168.100.103
108209,Auditório 4,07/05/2025 10:33:00,192.168.100.103
108209,Auditório 4,09/05/2025 17:50:00,192.168.100.103
108209,B2.02,14/05/2025 11:14:00,192.168.100.103
108209,0S01,14/05/2025 18:34:00,192.168.100.103
108209,AA3.28,16/05/2025 10:33:00,192.168.100.103
108209,AA3.26,20/05/2025 09:47:00,192.168.100.103
108209,D1.01,28/05/2025 16:16:00,192.168.100.103
108209,Auditório 1,30/05/2025 10:33:00,192.168.100.103
108209,AA3.28,30/05/2025 14:43:00,192.168.100.103
108209,Auditório 1,30/05/2025 19:50:00,192.168.100.103
108209,0S02,02/06/2025 10:33:00,192.168.100.103
108209,AA3.26,04/06/2025 16:16:00,192.168.100.103
108209,B2.01,11/06/2025 12:55:00,192.168.100.103
108209,D1.02,11/06/2025 20:57:00,192.168.100.103
108209,B2.02,13/06/2025 09:47:00,192.168.100.103
108209,C2.02,13/06/2025 12:55:00,192.168.100.103
108209,0S01,16/06/2025 18:34:00,192.168.100.103
108209,Auditório 4,17/06/2025 10:33:00,192.168.100.103
108209,0S01,27/06/2025 12:55:00,192.168.100.103
107150,D1.01,02/07/2024 19:50:00,192.168.100.190
107150,D1.02,03/07/2024 09:47:00,192.168.100.190
107150,Auditório 1,03/07/2024 11:14:00,192.168.100.190
107150,B2.01,03/07/2024 18:34:00,192.168.100.190
107150,0S02,09/07/2024 12:55:00,192.168.100.190
107150,Auditório 1,12/07/2024 14:43:00,192.168.100.190
107150,B2.02,17/07/2024 10:33:00,192.168.100.190
107150,Auditório 1,23/07/2024 17:50:00,192.168.100.190
107150,Auditório 1,25/07/2024 15:57:00,192.168.100.190
107150,Auditório 4,25/07/2024 20:57:00,192.168.100.190
107150,C2.01,26/07/2024 19:50:00,192.168.100.190
107150,D1.01,29/07/2024 19:50:00,192.168.100.190
107150,AA3.26,31/07/2024 11:14:00,192.168.100.190
